,image_link,product_name,page_link,label,background,delete,item_no,description,style,material,type_class,color,rating
0,https://ak1.ostkcdn.com/images/products/17019627/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home-2345e97a-fca5-48dd-bff5-cd73c5347dbd_600.jpg,Meena Buttoned Mid Century Modern Fabric Club Chair by Christopher Knight Home,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,armchair,0,0,23299271,"This plush, bucket-shaped armchair offers a soft and inviting place from which to kick up your feet and relax. Combining mid century modern elegance with the most comfortable and durable of materials, this is a wonderful addition to any home, and one sure to elicit complements from visitors.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Blue, Grey, Orange, Purple",4.3
1,https://ak1.ostkcdn.com/images/products/17019627/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home-5420864c-87bf-4d9b-b3ea-fa9a9b022b63_600.jpg,Meena Buttoned Mid Century Modern Fabric Club Chair by Christopher Knight Home,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,armchair,0,0,23299271,"This plush, bucket-shaped armchair offers a soft and inviting place from which to kick up your feet and relax. Combining mid century modern elegance with the most comfortable and durable of materials, this is a wonderful addition to any home, and one sure to elicit complements from visitors.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Blue, Grey, Orange, Purple",4.3
2,https://ak1.ostkcdn.com/images/products/17019627/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home-6ba83b5f-0a1c-4856-9eaf-79200b9df9a7_600.jpg,Meena Buttoned Mid Century Modern Fabric Club Chair by Christopher Knight Home,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,armchair,0,0,23299271,"This plush, bucket-shaped armchair offers a soft and inviting place from which to kick up your feet and relax. Combining mid century modern elegance with the most comfortable and durable of materials, this is a wonderful addition to any home, and one sure to elicit complements from visitors.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Blue, Grey, Orange, Purple",4.3
3,https://ak1.ostkcdn.com/images/products/17019627/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home-a61dbd26-a57d-406e-98f8-508a57caa2ed_600.jpg,Meena Buttoned Mid Century Modern Fabric Club Chair by Christopher Knight Home,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,armchair,0,0,23299271,"This plush, bucket-shaped armchair offers a soft and inviting place from which to kick up your feet and relax. Combining mid century modern elegance with the most comfortable and durable of materials, this is a wonderful addition to any home, and one sure to elicit complements from visitors.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Blue, Grey, Orange, Purple",4.3
4,https://ak1.ostkcdn.com/images/products/17019627/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home-ba565ad6-2945-4160-9a9e-3a05117658d3_600.jpg,Meena Buttoned Mid Century Modern Fabric Club Chair by Christopher Knight Home,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,armchair,0,0,23299271,"This plush, bucket-shaped armchair offers a soft and inviting place from which to kick up your feet and relax. Combining mid century modern elegance with the most comfortable and durable of materials, this is a wonderful addition to any home, and one sure to elicit complements from visitors.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Blue, Grey, Orange, Purple",4.3
5,https://ak1.ostkcdn.com/images/products/17019627/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home-e7050bba-1cba-4223-a804-7ff930fa3d5c_600.jpg,Meena Buttoned Mid Century Modern Fabric Club Chair by Christopher Knight Home,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,armchair,0,0,23299271,"This plush, bucket-shaped armchair offers a soft and inviting place from which to kick up your feet and relax. Combining mid century modern elegance with the most comfortable and durable of materials, this is a wonderful addition to any home, and one sure to elicit complements from visitors.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Blue, Grey, Orange, Purple",4.3
6,https://ak1.ostkcdn.com/images/products/17019627/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home-7ecd8e62-d41c-4c18-951a-93898719a08a_600.jpg,Meena Buttoned Mid Century Modern Fabric Club Chair by Christopher Knight Home,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,armchair,0,1,23299271,"This plush, bucket-shaped armchair offers a soft and inviting place from which to kick up your feet and relax. Combining mid century modern elegance with the most comfortable and durable of materials, this is a wonderful addition to any home, and one sure to elicit complements from visitors.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Blue, Grey, Orange, Purple",4.3
7,https://ak1.ostkcdn.com/images/products/17019627/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home-91ad9b16-4831-4390-97af-184db5b115d8_600.jpg,Meena Buttoned Mid Century Modern Fabric Club Chair by Christopher Knight Home,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,armchair,0,1,23299271,"This plush, bucket-shaped armchair offers a soft and inviting place from which to kick up your feet and relax. Combining mid century modern elegance with the most comfortable and durable of materials, this is a wonderful addition to any home, and one sure to elicit complements from visitors.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Blue, Grey, Orange, Purple",4.3
8,https://ak1.ostkcdn.com/images/products/17019627/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home-5b4636bb-1fff-47de-a98e-b81b2c226628_600.jpg,Meena Buttoned Mid Century Modern Fabric Club Chair by Christopher Knight Home,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,armchair,0,1,23299271,"This plush, bucket-shaped armchair offers a soft and inviting place from which to kick up your feet and relax. Combining mid century modern elegance with the most comfortable and durable of materials, this is a wonderful addition to any home, and one sure to elicit complements from visitors.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Blue, Grey, Orange, Purple",4.3
9,https://ak1.ostkcdn.com/images/products/17019627/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home-e6726987-bea6-42e8-aee9-808880d4e724_600.jpg,Meena Buttoned Mid Century Modern Fabric Club Chair by Christopher Knight Home,https://www.overstock.com/Home-Garden/Meena-Buttoned-Mid-Century-Modern-Fabric-Club-Chair-by-Christopher-Knight-Home/17019627/product.html?refccid=XXMJCI7TDDEKEGCG4U4NCDMJ5E&searchidx=0,armchair,0,0,23299271,"This plush, bucket-shaped armchair offers a soft and inviting place from which to kick up your feet and relax. Combining mid century modern elegance with the most comfortable and durable of materials, this is a wonderful addition to any home, and one sure to elicit complements from visitors.","Mid-Century Modern, Modern & Contemporary","Fabric, Wood","Arm Chairs, Club Chairs","Blue, Grey, Orange, Purple",4.3
